W+1/RB4/6-,Backward,9682.39,9565.92,98.497,172.079,9102.39,2.75,96.8156,94.782,1.61644,1.54392
W+1/RB4/6+,Backward,9727.17,9623.25,99.2428,161.013,9117.17,2.76,97.3839,95.6586,1.47882,1.42841
W+1/RB2in/6,Backward,9530.36,9443.17,98.1862,206.46,9020.36,2.77,96.8582,95.461,1.64788,1.53728
W+1/RB2in/6,Central,9529.81,9443.17,99.0497,171.146,8949.81,2.78,97.2833,95.8812,1.87367,1.74053
W+1/RB2in/6,Forward,9556.52,9443.17,100.288,179.284,8986.52,2.79,98.6136,96.5993,1.96049,1.80255
W+1/RB1in/6,Forward,9498.8,9423.65,97.5029,191.826,8968.8,2.8,96.0204,94.8571,2.3023,2.12263
W+1/RB1out/6,Forward,9571.37,9521.37,98.0772,194.189,9041.37,2.81,96.6246,95.9343,2.15414,2.05242
W+1/RB2out/6,Forward,9543.26,9448.87,98.9133,197.572,9023.26,2.82,97.3852,95.7204,1.89895,1.73726
W+1/RB1in/6,Backward,9548.49,9423.65,97.2479,201.029,9038.49,2.83,95.8351,93.383,1.99031,1.73947
W+1/RB1out/6,Backward,9726.78,9521.37,99.797,155.691,9096.78,2.84,97.877,93.2088,2.27456,1.89926
W+1/RB2out/6,Backward,9554.48,9448.87,97.6243,216.658,9064.48,2.85,96.3801,94.5087,1.69491,1.54433
W+1/RB3/7-,Forward,9529.55,9411.65,98.6062,218.904,9039.55,2.86,97.3512,95.1127,1.58996,1.44369
W+1/RB3/7+,Forward,9616.09,9473.84,98.6102,180.821,9056.09,2.87,97.0144,94.211,1.76921,1.59289
W+1/RB4/7-,Forward,9589.77,9451.76,100.132,159.183,8969.77,2.88,98.2266,95.6686,1.91727,1.74814
W+1/RB4/7+,Forward,9518.73,9411.89,99.4163,189.011,8978.73,2.89,97.8061,95.8598,1.85187,1.69366
W+1/RB3/7-,Backward,9493.74,9411.65,98.2636,230.314,9023.74,2.9,97.0794,95.7419,1.64359,1.50904
W+1/RB3/7+,Backward,9531.59,9473.84,99.3518,219.797,9041.59,2.91,98.0684,97.2305,1.79943,1.70095
W+1/RB4/7-,Backward,9513.76,9451.76,98.2359,215.883,9023.76,2.92,96.9303,96.0057,1.53913,1.46149
W+1/RB4/7+,Backward,9505.05,9411.89,98.6714,206.213,8995.05,2.93,97.302,95.7357,1.5917,1.45818
W+1/RB2in/7,Backward,9416.36,9329.91,98.4753,223.489,8936.36,2.94,97.2296,95.7854,1.67285,1.53518
W+1/RB2in/7,Central,9462.98,9329.91,98.9319,185.286,8912.98,2.95,97.351,94.7619,1.95872,1.73496
W+1/RB2in/7,Forward,9396.84,9329.91,99.3907,203.712,8886.84,2.96,97.8949,96.8296,1.86475,1.74301
W+1/RB1in/7,Forward,9325.11,9251.11,98.7686,226.455,8845.11,2.97,97.5732,96.4395,2.15255,1.95861
W+1/RB1out/7,Forward,9407.53,9357.53,98.191,221.84,8927.53,2.98,96.9247,96.2159,1.92563,1.81916
W+1/RB2out/7,Forward,9396.4,9346.4,98.5434,260.365,8966.4,2.99,97.5073,96.7987,1.75329,1.64897
W+1/RB1in/7,Backward,9377.1,9251.11,98.2107,224.694,8897.1,3,97.011,94.5081,1.91644,1.62253
W+1/RB1out/7,Backward,9516.83,9357.53,98.6404,195.04,8986.83,3.01,97.1713,93.6494,2.16962,1.80248
W+1/RB2out/7,Backward,9589.37,9346.4,99.1185,193.793,9059.37,3.02,97.5725,89.6224,1.82165,1.46774
W+1/RB3/8-,Forward,9486.25,9368.32,99.3284,206.823,8976.25,3.03,97.9284,95.6756,2.15412,1.86913
W+1/RB3/8+,Forward,9496.95,9390.83,97.5625,229.375,9026.95,3.04,96.4023,94.478,1.72222,1.56086
W+1/RB4/8-,Forward,9568.15,9479.23,98.6593,192.067,9038.15,3.05,97.0932,95.5784,1.68036,1.57473
W+1/RB4/8+,Forward,9600.23,9505.98,99.4217,216.355,9110.23,3.06,98.0443,96.3474,1.537,1.48216
W+1/RB3/8-,Backward,9450.38,9368.32,99.3963,231.635,8980.38,3.07,98.1681,96.7941,1.8391,1.65746
W+1/RB3/8+,Backward,9484.71,9390.83,98.566,220.84,9004.71,3.08,97.2488,95.5639,1.66588,1.50545
W+1/RB4/8-,Backward,9590.32,9479.23,98.5,201.875,9080.32,3.09,97.0172,94.8944,1.49967,1.40038
W+1/RB4/8+,Backward,9611.73,9505.98,98.6174,206.971,9101.73,3.1,97.2728,95.4129,1.50049,1.42114
W+1/RB2in/8,Backward,9535.1,9439.19,98.8442,203.545,9025.1,3.11,97.3851,95.6854,1.72181,1.57914
W+1/RB2in/8,Central,9544.38,9439.19,98.7879,193.169,9014.38,3.12,97.2478,95.3499,1.89489,1.70974
W+1/RB2in/8,Forward,9534,9439.19,99.4064,225.915,9054,3.13,98.1565,96.497,1.77582,1.62107
W+1/RB1in/8,Forward,9547.44,9484.93,98.812,180.645,8987.44,3.14,97.1933,96.2793,2.1835,2.03836
W+1/RB1out/8,Forward,9551.27,9501.27,99.6089,208.31,9041.27,3.15,98.2302,97.5292,1.98145,1.88481
W+1/RB2out/8,Forward,9465.61,9364.3,97.4583,246.6,9015.61,3.16,96.4438,94.6813,1.74758,1.63453
W+1/RB1in/8,Backward,9622.41,9484.93,96.7225,168.558,9042.41,3.17,95.0549,92.4916,2.20849,1.94508
W+1/RB1out/8,Backward,9525.98,9501.27,96.734,197.206,9005.98,3.18,95.3606,95.0593,1.84647,1.80125
W+1/RB2out/8,Backward,9462.98,9364.3,98.2328,246.37,9012.98,3.19,97.1688,95.421,1.72891,1.61468
W+1/RB3/9-,Forward,9601.15,9468.44,71.7299,148.413,9091.15,3.2,70.6917,68.7039,1.67891,1.54846
W+1/RB3/9+,Forward,9584.3,9464.26,99.2751,198.888,9064.3,3.21,97.7601,95.406,1.76784,1.60183
W+1/RB4/9,Forward,9642.62,9550.51,99.6273,183.359,9092.62,3.22,97.9196,96.3179,1.72464,1.62187
W+1/RB3/9-,Backward,9535.73,9468.44,99.164,210.224,9035.73,3.23,97.7554,96.6987,1.69127,1.58094
W+1/RB3/9+,Backward,9544.22,9464.26,85.4198,187.358,9054.22,3.24,84.2751,83.1422,1.64631,1.53877
W+1/RB4/9,Backward,9658.4,9550.51,99.0144,178.638,9098.4,3.25,97.3044,95.3636,1.68011,1.58906
W+1/RB2in/9,Backward,9625.2,9479.96,98.8607,190.919,9085.2,3.26,97.3584,94.3879,1.73704,1.57409
W+1/RB2in/9,Central,9566.11,9479.96,98.192,188.301,9026.11,3.27,96.6563,95.2611,1.81822,1.67908
W+1/RB2in/9,Forward,9534.71,9479.96,99.3946,204.985,9024.71,3.28,97.9365,97.1229,1.82042,1.72582
W+1/RB1in/9,Forward,9402.29,9304.71,98.5123,195.306,8872.29,3.29,97.0612,95.4195,2.29994,2.06539
W+1/RB1out/9,Forward,9338.12,9288.12,98.1698,274.273,8918.12,3.3,97.2794,96.6234,1.79594,1.67988
W+1/RB2out/9,Forward,9537.77,9439.75,99.0165,197.281,9017.77,3.31,97.4709,95.7023,1.96999,1.81535
W+1/RB1in/9,Backward,9407.13,9304.71,97.3575,223.114,8927.13,3.32,96.1767,94.3941,2.00406,1.75146
W+1/RB1out/9,Backward,9474.65,9288.12,96.8546,216.547,8994.65,3.33,95.5486,90.3096,1.70663,1.40056
W+1/RB2out/9,Backward,9541.74,9439.75,98.1359,215.039,9051.74,3.34,96.8155,94.9695,1.75457,1.59629
W+1/RB4/1-,Forward,9734.13,9.44E+06,98.9498,181.26,9174.13,3.35,96.8155,94.9695,1.75457,1.59629
W+1/RB4/1+,Forward,9686.87,9575.39,100.047,171.552,9106.87,3.36,98.2084,96.1789,1.68608,1.59528
W+1/RB3/1-,Forward,9544.75,9457.35,99.0951,216.744,9054.75,3.37,97.7514,96.2524,1.8403,1.67545
W+1/RB3/1+,Forward,9463.96,9362.14,98.8177,254.618,9023.96,3.38,97.7689,95.88,1.95114,1.71237
W+1/RB4/1-,Backward,9657.99,9596.06,100.234,191.186,9117.99,3.39,98.6314,97.6881,1.62458,1.56365
W+1/RB4/1+,Backward,9663.9,9575.39,96.6312,182.645,9123.9,3.4,95.0288,93.5509,1.4808,1.41057
W+1/RB3/1-,Backward,9569.94,9457.35,98.2996,218.41,9079.94,3.41,97.0531,94.9811,1.73414,1.54819
W+1/RB3/1+,Backward,9460.32,9362.14,98.9276,296.533,9060.32,3.42,98.1168,96.344,1.66783,1.46996
W+1/RB2in/1,Central,9637.43,9581.32,100.238,178.859,9067.43,3.43,98.5522,97.7426,2.01425,1.91949
W+1/RB2in/1,Backward,9725.22,9581.32,100.149,179.504,9155.22,3.44,98.4948,95.6419,1.72794,1.57445
W+1/RB2in/1,Forward,9642.12,9.58E+06,100.663,176.373,9062.12,3.45,98.4948,95.6419,1.72794,1.57445
W+1/RB1out/1,Forward,9537.04,9442.46,97.926,226.232,9067.04,3.46,96.6698,94.9685,1.97022,1.79851
W+1/RB1in/1,Forward,9528.14,9427.88,98.1814,206.698,9028.14,3.47,96.7458,94.9055,2.17949,1.96049
W+1/RB2out/1,Forward,9403.98,9338.69,98.4632,239.252,8943.98,3.48,97.3498,96.384,1.98137,1.8284
W+1/RB1out/1,Backward,9547.88,9442.46,84.9459,187.189,9057.88,3.49,83.83,82.1756,1.94536,1.7314
W+1/RB1in/1,Backward,9527.63,9427.88,96.1473,232.234,9067.63,3.5,95.0312,93.2757,1.83454,1.63912
W+1/RB2out/1,Backward,9473.41,9338.69,99.0069,249.778,9023.41,3.51,97.9625,95.0602,1.84123,1.5732
W+1/RB3/2-,Forward,9607.68,9495.74,99.3091,189.407,9067.68,3.52,97.7211,95.6577,1.70448,1.56978
W+1/RB3/2+,Forward,9679.36,9561.53,100.79,168.281,9079.36,3.53,98.9896,96.9181,1.89795,1.77092
W+1/RB4/2-,Forward,9778.63,9.56E+06,99.8861,159.361,9158.63,3.54,98.9896,96.9181,1.89795,1.77092
W+1/RB4/2+,Forward,9625.52,9529.43,99.7624,190.396,9085.52,3.55,98.1714,96.5053,1.65262,1.56129
W+1/RB3/2-,Backward,9583.81,9495.74,97.9443,216.034,9093.81,3.56,96.6627,95.1992,1.47578,1.3912
W+1/RB3/2+,Backward,9643.7,9.50E+06,99.587,196.937,9113.7,3.57,96.6627,95.1992,1.47578,1.3912
W+1/RB4/2-,Backward,9665.55,9532.78,96.6535,191.331,9135.55,3.58,95.2208,92.664,1.40199,1.32068
W+1/RB4/2+,Backward,9633.34,9529.43,99.6614,174.963,9063.34,3.59,97.8736,96.023,1.561,1.46958
W+1/RB2in/2,Backward,9518.88,9407.01,98.7712,238.911,9058.88,3.6,97.6317,95.4818,1.69176,1.52793
W+1/RB2in/2,Central,9674.46,9407.01,99.5895,174.259,9094.46,3.61,97.8999,89.5435,1.82633,1.51916
W+1/RB2in/2,Forward,9457.01,9407.01,99.2164,225.401,8977.01,3.62,97.9669,97.2623,1.81305,1.71866
W+1/RB1in/2,Forward,9617.68,9512.42,99.8187,157.017,8997.68,3.63,97.8403,96.0524,2.47912,2.25394
W+1/RB1out/2,Forward,9668.54,9593,99.767,173.518,9088.54,3.64,98.0333,96.8693,2.11709,1.96608
W+1/RB2out/2,Forward,9502.67,9396.09,98.7225,225.868,9022.67,3.65,97.5166,95.5875,2.1095,1.89744
